age,workclass,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income,occupation_grouped,native_region
47,Private,15,Married-civ-spouse,Wife,White,Female,0,1902,52.5,>50K,Professional,Latin America
50,Federal-gov,13,Divorced,Not-in-family,White,Male,0,0,52.5,>50K,Executive,United-States
47,Self-emp-inc,9,Divorced,Not-in-family,White,Male,0,0,52.5,<=50K,Executive,United-States
43,Private,10,Married-civ-spouse,Husband,White,Male,0,0,40.0,>50K,Professional,United-States
46,Private,3,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Unskilled Labor,Latin America
35,Private,11,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Service,Caribbean
41,Private,9,Married-civ-spouse,Husband,White,Male,0,0,48.0,<=50K,Clerical,United-States
30,Private,9,Married-civ-spouse,Husband,White,Male,5013,0,40.0,<=50K,Unskilled Labor,United-States
30,Private,13,Married-civ-spouse,Husband,White,Male,2407,0,40.0,<=50K,Sales,United-States
32,Private,4,Married-spouse-absent,Not-in-family,White,Male,0,0,40.0,<=50K,Professional,United-States
48,Private,9,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Unskilled Labor,United-States
42,Private,16,Married-civ-spouse,Husband,White,Male,0,0,45.0,>50K,Professional,United-States
29,Private,10,Divorced,Not-in-family,White,Male,0,0,52.5,<=50K,Professional,United-States
36,Private,9,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Skilled Labor,United-States
28,Private,10,Divorced,Not-in-family,White,Female,0,0,40.0,<=50K,Clerical,United-States
53,Private,9,Married-civ-spouse,Wife,White,Female,0,0,40.0,>50K,Clerical,United-States
49,Self-emp-inc,10,Married-civ-spouse,Husband,White,Male,0,0,50.0,>50K,Executive,United-States
25,Private,10,Never-married,Own-child,White,Male,0,0,40.0,<=50K,Professional,United-States
19,Private,10,Never-married,Own-child,White,Male,0,0,32.5,<=50K,Professional,United-States
31,Private,13,Separated,Own-child,Black,Female,0,0,40.0,<=50K,Sales,United-States
29,Self-emp-not-inc,13,Married-civ-spouse,Husband,White,Male,0,0,52.5,>50K,Sales,United-States
23,Private,10,Never-married,Not-in-family,White,Male,0,0,40.0,<=50K,Unskilled Labor,United-States
79,Private,10,Married-civ-spouse,Other-relative,White,Male,0,0,32.5,<=50K,Professional,United-States
27,Private,9,Never-married,Own-child,White,Male,0,0,40.0,<=50K,Service,Latin America
40,Private,12,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Clerical,United-States
67,Private,6,Married-civ-spouse,Husband,White,Male,0,0,32.5,<=50K,Professional,United-States
18,Private,7,Never-married,Own-child,White,Female,0,0,32.5,<=50K,Service,United-States
31,Local-gov,4,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Unskilled Labor,United-States
18,Private,9,Never-married,Not-in-family,White,Male,0,0,32.5,<=50K,Sales,United-States
52,Private,13,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Service,Latin America
46,Private,9,Married-civ-spouse,Wife,White,Female,0,0,40.0,<=50K,Service,United-States
59,Private,9,Married-civ-spouse,Husband,White,Male,0,0,48.0,<=50K,Sales,United-States
44,Private,9,Divorced,Not-in-family,White,Female,14344,0,40.0,>50K,Skilled Labor,United-States
53,Private,9,Divorced,Own-child,White,Female,0,0,35.0,<=50K,Sales,United-States
49,Local-gov,9,Married-civ-spouse,Husband,White,Male,0,0,40.0,>50K,Service,United-States
33,Private,14,Married-civ-spouse,Husband,White,Male,0,0,50.0,<=50K,Professional,United-States
30,Private,5,Never-married,Not-in-family,White,Male,0,0,40.0,<=50K,Sales,United-States
43,Federal-gov,16,Never-married,Not-in-family,White,Female,0,0,50.0,>50K,Professional,United-States
57,Private,11,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Professional,United-States
37,Private,10,Divorced,Unmarried,White,Female,0,0,40.0,<=50K,Skilled Labor,United-States
28,Private,10,Divorced,Unmarried,Black,Female,0,0,32.5,<=50K,Unskilled Labor,United-States
30,Private,9,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,0,1573,35.0,<=50K,Sales,United-States
34,Local-gov,13,Married-civ-spouse,Husband,White,Male,0,0,40.0,>50K,Service,United-States
29,Local-gov,10,Never-married,Not-in-family,White,Male,0,0,50.0,<=50K,Unskilled Labor,United-States
48,Self-emp-not-inc,16,Married-civ-spouse,Husband,White,Male,0,1902,52.5,>50K,Professional,United-States
37,Private,10,Married-civ-spouse,Husband,White,Male,0,0,48.0,>50K,Sales,United-States
48,Private,12,Divorced,Unmarried,White,Female,0,0,40.0,<=50K,Executive,Europe
32,Federal-gov,9,Never-married,Own-child,Black,Male,0,0,40.0,<=50K,Service,United-States
76,Private,14,Married-civ-spouse,Husband,White,Male,0,0,40.0,>50K,Executive,United-States
44,Private,13,Married-civ-spouse,Husband,White,Male,15024,0,52.5,>50K,Executive,United-States
47,Self-emp-not-inc,14,Never-married,Not-in-family,White,Female,0,0,50.0,<=50K,Professional,United-States
20,Private,10,Never-married,Own-child,White,Female,0,0,40.0,<=50K,Professional,United-States
29,Private,9,Never-married,Not-in-family,White,Male,0,0,40.0,<=50K,Skilled Labor,United-States
32,Self-emp-inc,9,Married-civ-spouse,Husband,White,Male,7688,0,40.0,>50K,Skilled Labor,United-States
17,Private,6,Never-married,Own-child,White,Female,34095,0,32.5,<=50K,Professional,United-States
30,Private,7,Never-married,Own-child,White,Male,0,0,40.0,<=50K,Unskilled Labor,United-States
31,Local-gov,9,Never-married,Not-in-family,White,Female,0,0,40.0,<=50K,Clerical,United-States
42,Private,9,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Unskilled Labor,United-States
24,Private,13,Never-married,Other-relative,White,Male,0,0,40.0,<=50K,Sales,United-States
38,Private,15,Married-civ-spouse,Husband,White,Male,0,0,40.0,>50K,Professional,United-States
56,Self-emp-not-inc,9,Married-civ-spouse,Husband,White,Male,0,1887,50.0,>50K,Service,Canada
28,Private,10,Married-civ-spouse,Wife,White,Female,4064,0,32.5,<=50K,Sales,United-States
36,Private,9,Never-married,Own-child,White,Female,0,0,40.0,<=50K,Unskilled Labor,United-States
53,Private,5,Married-civ-spouse,Husband,White,Male,0,0,50.0,<=50K,Unskilled Labor,United-States
56,Self-emp-inc,10,Married-civ-spouse,Husband,White,Male,0,0,50.0,<=50K,Sales,United-States
49,Local-gov,11,Married-civ-spouse,Husband,Black,Male,0,0,40.0,>50K,Skilled Labor,United-States
55,Private,10,Married-civ-spouse,Husband,White,Male,0,0,52.5,<=50K,Sales,United-States
22,Private,9,Never-married,Not-in-family,White,Male,0,0,41.0,<=50K,Skilled Labor,United-States
21,Private,10,Never-married,Own-child,White,Female,0,0,40.0,<=50K,Service,United-States
40,Private,13,Married-civ-spouse,Husband,White,Male,0,0,52.5,<=50K,Executive,United-States
30,Private,13,Never-married,Own-child,Black,Male,0,0,40.0,<=50K,Executive,Europe
29,State-gov,13,Married-civ-spouse,Husband,White,Male,0,0,50.0,>50K,Professional,United-States
19,Private,10,Never-married,Own-child,Black,Male,0,0,35.0,<=50K,Service,United-States
47,Private,13,Married-civ-spouse,Wife,White,Female,0,0,40.0,>50K,Executive,United-States
20,Private,10,Never-married,Own-child,White,Female,0,1719,32.5,<=50K,Clerical,United-States
31,Private,12,Married-civ-spouse,Husband,White,Male,0,0,40.0,>50K,Clerical,United-States
35,Private,9,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Professional,United-States
39,Private,10,Divorced,Not-in-family,White,Male,0,0,40.0,<=50K,Skilled Labor,United-States
28,Private,12,Never-married,Not-in-family,White,Female,0,0,52.5,<=50K,Sales,United-States
24,Private,9,Never-married,Not-in-family,White,Female,0,1762,40.0,<=50K,Service,United-States
38,Self-emp-not-inc,9,Married-civ-spouse,Husband,White,Male,4386,0,35.0,<=50K,Skilled Labor,United-States
37,Private,13,Married-civ-spouse,Husband,White,Male,0,0,50.0,<=50K,Sales,United-States
46,Private,12,Divorced,Not-in-family,Black,Female,0,0,36.0,<=50K,Professional,United-States
38,Federal-gov,14,Married-civ-spouse,Husband,White,Male,0,0,40.0,>50K,Professional,Other
43,Self-emp-not-inc,9,Married-civ-spouse,Husband,White,Male,0,0,52.5,<=50K,Skilled Labor,United-States
27,Private,11,Married-civ-spouse,Wife,White,Female,0,0,35.0,<=50K,Clerical,United-States
20,Private,10,Never-married,Own-child,White,Male,0,0,32.5,<=50K,Sales,United-States
49,Private,10,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40.0,>50K,Skilled Labor,United-States
61,Self-emp-inc,9,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Skilled Labor,United-States
27,Private,10,Never-married,Own-child,White,Female,0,0,40.0,<=50K,Sales,United-States
19,Private,10,Never-married,Own-child,White,Male,0,0,32.5,<=50K,Service,Latin America
45,Private,11,Never-married,Not-in-family,White,Female,0,1564,40.0,>50K,Professional,United-States
70,Private,10,Never-married,Other-relative,White,Male,0,0,40.0,<=50K,Professional,United-States
31,Private,9,Never-married,Unmarried,Black,Female,0,0,32.5,<=50K,Unskilled Labor,United-States
22,Private,10,Married-civ-spouse,Husband,White,Male,0,0,32.5,<=50K,Service,United-States
36,Private,9,Widowed,Unmarried,White,Female,0,0,32.5,<=50K,Service,United-States
64,Private,7,Married-civ-spouse,Husband,White,Male,0,2179,40.0,<=50K,Skilled Labor,United-States
43,Private,10,Divorced,Not-in-family,White,Female,0,0,40.0,<=50K,Professional,United-States
47,Local-gov,10,Divorced,Unmarried,White,Female,0,0,38.0,<=50K,Clerical,Latin America
34,Private,9,Never-married,Not-in-family,White,Female,0,0,40.0,<=50K,Clerical,United-States
33,Private,13,Never-married,Other-relative,Asian-Pac-Islander,Female,0,0,40.0,<=50K,Executive,Asia
21,Private,9,Never-married,Own-child,White,Male,0,0,35.0,<=50K,Skilled Labor,United-States
52,Private,9,Divorced,Not-in-family,White,Male,0,0,45.0,>50K,Professional,United-States
48,Private,9,Married-civ-spouse,Husband,White,Male,0,0,46.0,<=50K,Skilled Labor,United-States
23,Private,13,Never-married,Not-in-family,White,Male,0,0,40.0,<=50K,Unskilled Labor,United-States
71,Self-emp-not-inc,10,Separated,Unmarried,Black,Male,0,1816,32.5,<=50K,Sales,United-States
29,Private,9,Divorced,Not-in-family,White,Male,0,0,52.5,<=50K,Skilled Labor,United-States
42,Private,13,Separated,Other-relative,Black,Male,0,0,50.0,<=50K,Service,United-States
68,Private,2,Divorced,Not-in-family,White,Female,0,0,32.5,<=50K,Professional,United-States
25,Private,9,Never-married,Unmarried,White,Female,0,0,40.0,<=50K,Service,United-States
44,Self-emp-inc,14,Divorced,Unmarried,Asian-Pac-Islander,Female,0,0,40.0,<=50K,Executive,United-States
28,Private,9,Never-married,Not-in-family,Asian-Pac-Islander,Female,0,0,40.0,<=50K,Executive,Europe
45,Self-emp-not-inc,14,Married-civ-spouse,Husband,White,Male,0,0,40.0,>50K,Sales,United-States
36,Private,10,Divorced,Unmarried,White,Female,0,0,40.0,<=50K,Service,Latin America
39,Federal-gov,12,Never-married,Not-in-family,White,Male,0,0,42.0,<=50K,Executive,United-States
46,State-gov,14,Widowed,Unmarried,White,Male,0,0,40.0,<=50K,Service,United-States
18,Private,7,Never-married,Own-child,White,Male,0,0,32.5,<=50K,Unskilled Labor,United-States
66,Local-gov,11,Widowed,Not-in-family,White,Female,0,0,32.5,<=50K,Professional,United-States
27,Private,9,Never-married,Not-in-family,White,Male,0,1980,40.0,<=50K,Service,United-States
28,State-gov,9,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Service,United-States
51,Private,10,Married-civ-spouse,Husband,White,Male,0,1977,40.0,>50K,Sales,United-States
27,Private,13,Never-married,Not-in-family,White,Male,0,0,50.0,<=50K,Skilled Labor,United-States
28,State-gov,13,Married-civ-spouse,Husband,White,Male,0,0,40.0,>50K,Professional,United-States
27,Private,9,Married-spouse-absent,Unmarried,White,Female,0,0,32.5,<=50K,Sales,United-States
21,Private,9,Never-married,Own-child,Black,Male,0,0,40.0,<=50K,Skilled Labor,United-States
34,Private,9,Never-married,Not-in-family,Black,Male,0,0,40.0,<=50K,Unskilled Labor,United-States
18,Private,9,Never-married,Own-child,White,Male,0,0,32.5,<=50K,Service,United-States
33,Private,13,Married-civ-spouse,Husband,White,Male,0,0,52.5,<=50K,Professional,United-States
44,Local-gov,10,Married-civ-spouse,Husband,Black,Male,0,0,38.0,>50K,Executive,United-States
43,Private,10,Divorced,Not-in-family,White,Female,0,0,40.0,<=50K,Clerical,United-States
30,Private,10,Never-married,Not-in-family,Black,Male,0,0,45.0,<=50K,Skilled Labor,United-States
40,Private,4,Married-civ-spouse,Husband,White,Male,0,0,40.0,>50K,Unskilled Labor,Latin America
37,Federal-gov,10,Married-civ-spouse,Husband,White,Male,0,0,42.0,>50K,Clerical,United-States
34,Private,9,Married-civ-spouse,Husband,Black,Male,0,0,40.0,<=50K,Clerical,United-States
41,Self-emp-not-inc,13,Divorced,Not-in-family,White,Female,0,0,40.0,<=50K,Executive,United-States
53,Private,13,Divorced,Not-in-family,White,Female,0,0,50.0,<=50K,Professional,United-States
31,Private,14,Married-civ-spouse,Wife,White,Female,0,0,50.0,<=50K,Professional,United-States
58,State-gov,16,Married-civ-spouse,Husband,White,Male,0,0,32.5,>50K,Professional,United-States
38,Private,10,Divorced,Not-in-family,Black,Female,0,0,32.5,<=50K,Unskilled Labor,United-States
24,Private,10,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Unskilled Labor,United-States
41,Local-gov,13,Married-civ-spouse,Husband,Black,Male,0,0,40.0,<=50K,Skilled Labor,United-States
47,Private,10,Married-civ-spouse,Husband,White,Male,0,0,45.0,<=50K,Professional,United-States
41,Federal-gov,13,Married-civ-spouse,Husband,White,Male,0,0,32.5,<=50K,Professional,United-States
23,Private,3,Married-civ-spouse,Other-relative,White,Male,0,0,40.0,<=50K,Unskilled Labor,Latin America
36,Private,10,Divorced,Not-in-family,White,Male,0,0,40.0,<=50K,Skilled Labor,United-States
40,Federal-gov,14,Never-married,Not-in-family,White,Female,14084,0,52.5,>50K,Executive,United-States
35,Private,14,Married-civ-spouse,Other-relative,White,Male,7298,0,40.0,>50K,Professional,United-States
24,Self-emp-not-inc,9,Never-married,Not-in-family,White,Male,0,0,40.0,<=50K,Sales,United-States
26,Private,14,Never-married,Not-in-family,White,Female,0,1876,40.0,<=50K,Professional,United-States
19,Private,9,Never-married,Own-child,White,Male,0,0,40.0,<=50K,Professional,Europe
51,Private,13,Married-civ-spouse,Husband,White,Male,0,0,50.0,>50K,Executive,United-States
42,Local-gov,10,Never-married,Not-in-family,White,Female,0,1340,40.0,<=50K,Professional,United-States
37,State-gov,9,Divorced,Unmarried,White,Female,0,0,35.0,<=50K,Clerical,United-States
18,Private,7,Never-married,Own-child,White,Female,0,0,40.0,<=50K,Sales,United-States
36,Private,13,Married-civ-spouse,Husband,Black,Male,7298,0,36.0,>50K,Service,United-States
35,Private,9,Divorced,Not-in-family,White,Male,0,0,52.5,<=50K,Skilled Labor,United-States
58,Self-emp-inc,9,Married-civ-spouse,Wife,White,Female,15024,0,35.0,>50K,Sales,United-States
17,Private,7,Never-married,Own-child,White,Female,0,0,32.5,<=50K,Sales,United-States
44,Local-gov,9,Married-civ-spouse,Husband,Black,Male,0,0,40.0,<=50K,Unskilled Labor,United-States
37,Private,9,Married-civ-spouse,Husband,White,Male,0,0,40.0,>50K,Skilled Labor,United-States
35,Private,10,Never-married,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40.0,<=50K,Sales,United-States
60,Private,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40.0,<=50K,Skilled Labor,United-States
54,Self-emp-inc,4,Married-civ-spouse,Husband,White,Male,0,0,40.0,>50K,Unskilled Labor,United-States
37,Private,13,Never-married,Not-in-family,Black,Male,0,0,52.5,>50K,Executive,United-States
50,Private,12,Divorced,Not-in-family,White,Female,0,0,40.0,<=50K,Sales,United-States
38,Private,13,Married-civ-spouse,Husband,White,Male,0,0,50.0,<=50K,Sales,Europe
45,Private,13,Married-civ-spouse,Husband,White,Male,0,0,52.5,<=50K,Professional,United-States
25,Private,6,Never-married,Not-in-family,White,Male,0,0,40.0,<=50K,Skilled Labor,United-States
31,Private,10,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Unskilled Labor,United-States
64,Private,2,Divorced,Not-in-family,White,Male,0,0,40.0,<=50K,Professional,United-States
90,Private,9,Never-married,Not-in-family,Black,Male,0,2206,40.0,<=50K,Service,United-States
54,Private,9,Married-civ-spouse,Husband,Black,Male,0,0,32.5,<=50K,Clerical,United-States
53,Local-gov,1,Never-married,Not-in-family,White,Female,0,0,35.0,<=50K,Unskilled Labor,United-States
18,Private,9,Never-married,Own-child,White,Female,0,0,40.0,<=50K,Sales,United-States
60,Private,6,Divorced,Not-in-family,Amer-Indian-Eskimo,Female,0,0,32.5,<=50K,Professional,United-States
66,Self-emp-not-inc,9,Married-civ-spouse,Husband,White,Male,1409,0,50.0,<=50K,Unskilled Labor,United-States
75,Private,11,Widowed,Not-in-family,White,Female,0,0,32.5,<=50K,Clerical,Latin America
65,Private,9,Divorced,Not-in-family,White,Female,0,0,40.0,<=50K,Clerical,United-States
35,Private,7,Separated,Not-in-family,Black,Male,3674,0,40.0,<=50K,Unskilled Labor,United-States
41,Private,9,Divorced,Unmarried,Black,Female,0,0,38.0,<=50K,Sales,United-States
25,Private,10,Never-married,Not-in-family,White,Male,0,0,42.0,<=50K,Clerical,United-States
33,Private,10,Divorced,Other-relative,Other,Female,0,0,40.0,<=50K,Skilled Labor,United-States
28,Private,15,Never-married,Not-in-family,White,Male,0,0,52.5,>50K,Professional,United-States
59,State-gov,9,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Service,United-States
40,State-gov,10,Never-married,Not-in-family,White,Female,0,0,38.0,<=50K,Clerical,United-States
41,Private,13,Married-civ-spouse,Husband,White,Male,0,0,50.0,>50K,Executive,Other
38,Local-gov,14,Married-civ-spouse,Husband,White,Male,0,0,52.5,>50K,Executive,United-States
23,Private,9,Never-married,Own-child,White,Male,0,0,40.0,<=50K,Unskilled Labor,United-States
40,Private,13,Married-civ-spouse,Husband,White,Male,0,0,40.0,>50K,Professional,United-States
41,Self-emp-not-inc,9,Married-civ-spouse,Wife,White,Female,0,0,32.5,<=50K,Service,United-States
24,State-gov,12,Married-civ-spouse,Husband,White,Male,0,0,50.0,<=50K,Service,United-States
20,Private,10,Never-married,Own-child,White,Male,0,0,32.5,<=50K,Professional,United-States
38,Private,10,Divorced,Not-in-family,White,Male,0,1741,40.0,<=50K,Skilled Labor,United-States
56,Private,9,Married-civ-spouse,Husband,White,Male,0,0,35.0,<=50K,Clerical,United-States
58,Private,9,Married-civ-spouse,Husband,White,Male,0,0,45.0,>50K,Clerical,United-States
32,Private,9,Never-married,Not-in-family,White,Female,0,0,34.0,<=50K,Service,United-States
40,Private,12,Married-civ-spouse,Husband,White,Male,0,1977,52.5,>50K,Professional,United-States
45,Private,9,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Clerical,United-States
41,Private,15,Married-civ-spouse,Wife,White,Female,0,0,40.0,>50K,Professional,United-States
42,Private,13,Married-civ-spouse,Wife,Black,Female,0,0,40.0,<=50K,Clerical,United-States
59,Local-gov,6,Widowed,Unmarried,Black,Female,0,0,32.5,<=50K,Service,United-States
19,Local-gov,10,Never-married,Own-child,White,Male,0,0,40.0,<=50K,Clerical,United-States
58,Private,10,Never-married,Not-in-family,White,Male,0,0,32.5,<=50K,Unskilled Labor,United-States
42,Self-emp-not-inc,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40.0,>50K,Unskilled Labor,Asia
20,Private,9,Never-married,Own-child,White,Female,0,0,40.0,<=50K,Service,United-States
32,Private,9,Separated,Not-in-family,White,Female,0,0,32.5,<=50K,Service,United-States
45,Private,11,Widowed,Not-in-family,White,Female,0,0,45.0,<=50K,Executive,United-States
50,Private,4,Divorced,Not-in-family,White,Male,0,0,40.0,<=50K,Skilled Labor,United-States
36,Private,13,Divorced,Own-child,White,Female,0,0,40.0,<=50K,Professional,United-States
45,Private,9,Married-civ-spouse,Husband,White,Male,0,0,52.5,<=50K,Sales,United-States
17,Private,7,Never-married,Own-child,White,Male,0,0,32.5,<=50K,Service,United-States
59,Private,10,Married-civ-spouse,Husband,White,Male,4064,0,40.0,<=50K,Sales,United-States
26,Private,7,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Skilled Labor,United-States
37,Self-emp-inc,10,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,52.5,>50K,Executive,Asia
19,Private,10,Never-married,Own-child,White,Male,0,0,32.5,<=50K,Professional,Canada
64,Private,9,Married-civ-spouse,Husband,White,Male,0,0,40.0,>50K,Executive,United-States
33,Private,13,Never-married,Not-in-family,White,Female,0,0,45.0,<=50K,Professional,United-States
33,Private,9,Married-civ-spouse,Wife,White,Female,0,0,40.0,>50K,Skilled Labor,United-States
61,Private,9,Married-civ-spouse,Husband,White,Male,0,0,40.0,>50K,Executive,United-States
17,Private,5,Never-married,Own-child,White,Male,1055,0,32.5,<=50K,Service,United-States
50,Self-emp-not-inc,14,Married-civ-spouse,Husband,White,Male,2407,0,52.5,<=50K,Unskilled Labor,United-States
27,Local-gov,14,Never-married,Own-child,White,Male,0,0,35.0,<=50K,Professional,United-States
30,Private,9,Divorced,Own-child,White,Female,0,0,40.0,<=50K,Professional,United-States
43,Private,9,Married-civ-spouse,Husband,Black,Male,0,0,40.0,<=50K,Unskilled Labor,United-States
44,Private,10,Married-civ-spouse,Husband,White,Male,7298,0,40.0,>50K,Skilled Labor,United-States
35,Private,10,Never-married,Not-in-family,White,Female,0,0,40.0,<=50K,Executive,United-States
25,Private,10,Never-married,Own-child,White,Female,0,0,40.0,<=50K,Professional,United-States
24,Private,10,Married-civ-spouse,Wife,White,Female,7298,0,48.0,>50K,Unskilled Labor,United-States
22,Private,13,Never-married,Not-in-family,White,Female,0,0,32.5,<=50K,Professional,Europe
42,Local-gov,10,Married-civ-spouse,Husband,White,Male,5178,0,40.0,>50K,Skilled Labor,United-States
34,Private,12,Divorced,Unmarried,Black,Female,0,0,45.0,<=50K,Sales,United-States
60,Private,13,Divorced,Not-in-family,White,Female,0,0,42.0,<=50K,Professional,United-States
21,Private,9,Never-married,Own-child,White,Male,0,0,40.0,<=50K,Unskilled Labor,United-States
